Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Stephen,NFCDCH-02-H2LWK1DYY5QP025DHNALHT5WYTCKL7,Chrome PC (Cadmium),2021-02-15T04:18:19.759Z,2021-02-15T04:18:19.759Z,,,2021-02-15T04:18:19.759Z,2021-02-15T04:18:19.759Z,,,
Stephen,GOOGEUR001-M06IVHZRZHF3=I=ZH-RB5,Google Chromecast streaming stick,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,2021-02-04T03:44:55.888Z,
Stephen,NFANDROID1-PRV-P-L3-ONEPLHD1907-8159-0ECE159C39C369E68EC4DD0811AD53E591C71B5DE984A48BCD9BFB9904C09B011,Android DefaultWidevineL3Phone Android Phone,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,2020-06-30T03:02:43.200Z,
Stephen,NFANDROID2-PRV-TVAFTKM-AMAZOAFTKMST12-7766-7C2D5A6639AB8EF24F40F57734D9293CDE8AF7172A0BFEFC8A7AF0E797547789,Amazon TVAFTKM Smart TV,2019-10-31T06:08:12.972Z,2020-03-09T22:37:39.324Z,2020-02-17T03:55:21.876Z,2020-03-02T04:12:43.027Z,2019-10-31T06:08:12.972Z,2020-03-09T22:37:39.324Z,2020-02-17T03:55:21.876Z,2020-03-02T04:12:43.027Z,
Stephen,VIZTVMG1420000003973335,Vizio MG142 TPV E MT5580 Smart TV,,,,,,,,,
Stephen,NFXONE-02-1XF4RF8WZ3EGYXJDWR7EBZJ05KBKPVD8WJWZK407R5V3CJMPVEXC,Microsoft Xbox One,,,,,,,,,
Stephen,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0B6A7199DF594A440317FE6E7BD29D2B4E1F69868BBE104A030DFDA2668F77BC5,DefaultWidevineAndroidPhone,,,,,,,,,
Stephen,NFXONE-02-1BXMS941FM4PF1Y8S5KFCCCYJ2W86UF5JREARK6EM1WDU0MN49N6,Microsoft Xbox One,,,,,,,,,
Stephen,COMCOX1003-00000107038DF164-12BF60CE6FAF,Contour TV (Cox COX X1 ARM WITH SAGE),,,,,,,,,
Stephen,NFCDCH-02-FG10XFHJE9VK34U3R6DVC2QFT58R0Q,Chrome PC (Cadmium),,,,,,,,,
Stephen,NFANDROID1-PRV-T-GOOGLPIXEL=3=XL-8587-0B6A7199DF594A440317FE6E7BD29D2B4E1F69868BBE104A030DFDA2668F77BC5,DefaultWidevineAndroidTablets,,,,,,,,,
Stephen,NFUWA-001-D5CC01CA667F4391813DD8EF80DED6C445A61DB1F492D1060F003346F0DE60E075E6086C7566CD3E76DF5D74BEA4234EF8D9556ADD52909328527A3F2C62E369,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFANDROID1-PRV-T-AMAZOKFDOWI-7298-C9BA1E5251ECB72921E262D06522F2D8F97B5012BF6F35D2A9AB1FBF84ABA552,DefaultWidevineAndroidTablets,,,,,,,,,
Stephen,NFANDROID2-PRV-TVAFTKM-AMAZOAFTKMST12-7766-A9A733EE9E842E1964881AE26D07CACDDB80644FB50A7262AAB4E063FCF38982,Amazon TVAFTKM Smart TV,,,,,,,,,
Stephen,NFANDROID1-PRV-P-ESSENPH-1-7265-0B8CBA856399E7C5DDCFB00A8482433EB9455EBB23C87E8D763F6169A6592AE78,DefaultWidevineAndroidPhone,,,,,,,,,
Stephen,NFANDROID1-PRV-P-HUAWENEXUS=6P-6302-059818C53560B7920385D7115563F320EF15C66E4DAB4F35F81833C8F4CEEC594,DefaultWidevineAndroidPhone,,,,,,,,,
Stephen,NFANDROID2-PRV-FIRETVN-AMAZOAFTN-7637-2E7A6C2FA400F427E4AAC1CD0E90548C56BB8F4370075F8B6A0C72E2C5D96544,FireTV 4K Pendant 2017,,,,,,,,,
Stephen,NFCDCH-02-EDAXYJF763NPUWTMJRUJ3GMW729FH4,Chrome PC (Cadmium),,,,,,,,,
Stephen,NFANDROID1-PRV-P-HUAWENEXUS=6P-6302-010BDA8D08D9A1305E0F2E3A0C79993EBD4714384E6F506BD6719B563D8B99702,DefaultWidevineAndroidPhone (Huawei_Nexus 6P),,,,,,,,,
Stephen,NFUWA-001-9E4AAAF1F33CD03B4D5903DB37EF0A79EED4C031C8F62E0371962BB7122FA4F1A9A2EC666A23FA199765651E9D576F3A8E7AFB86E7F868D7291C3F12BA52FE02,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFANDROID1-PRV-P-HUAWENEXUS=6P-6302-45ECEAE882EAF3729A702391F9B53E88572E68163C135C6A685D3867BF031B58,DefaultWidevineAndroidPhone (Huawei_Nexus 6P),,,,,,,,,
Stephen,NFANDROID1-PRV-T-HUAWENEXUS=6P-6302-45ECEAE882EAF3729A702391F9B53E88572E68163C135C6A685D3867BF031B58,DefaultWidevineAndroidTablets (Huawei_Nexus 6P),,,,,,,,,
Stephen,NFUWA-001-F5UWE51ME09J13PHV53NQUP1VEYC5C,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFUWA-001-AB0530677967F33BF2FB25EC1AB29F18662F183DBF3201A59AD9A1C1B75BD73F75E6086C7566CD3E76DF5D74BEA4234EF8D9556ADD52909328527A3F2C62E369,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFUWA-001-DAQQ42H7TQ1Y4MH2MUQQA47C45NR01,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFANDROID1-PRV-T-L3-HUAWENEXUS=6P-4445-65B60AA920B824ABAE8BD359E4AB7DB2B7A85A7CDCD6588198A432CC75AFEB2E,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Stephen,NFUWA-001-CHQM85VAEH8HNAQTV85F1FWCWP435T,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFANDROID1-QUANTQMV7AS-9BDE6E5CC21698939CADCB36E882F040634E527DA6288E2EB9FAF93714D8B6AA,Mobile,,,,,,,,,
Stephen,NFANDROID1-LGE==NEXUS=5S-3C8C58811B18F5BF5427F2F4802F07A2C36715713248CCA0AF0F89219B6B8D68,Mobile,,,,,,,,,
Stephen,NFCDCH-02-CHQM7N6FAHLX1RMLUU4WKKTR4E28TA,Chrome PC (Cadmium),,,,,,,,,
Stephen,NFUWA-001-C776FH3N7WT1UM2NF5AUVGU1H8QVKF,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Stephen,NFWRTM-X64-5JCPYNK33PXCTRM8WAJ0Y,Windows 8 x64 devices,,,,,,,,,
Stephen,NFWRTM-X64-4QVPUNJ6Y3AR0320WAQZD,Windows 8 x64 devices,,,,,,,,,
Stephen,NFWRTM-X64-GJ05MNHTQWUT9CHEL04UP,Windows 8 x64 devices,,,,,,,,,
Stephen,NFXONE-02-1SPCJ1Y92BUJ5ZP8B5P5S6AX74TJKVK6HC5DK4UE1FBPFV0X8USU,Microsoft Xbox One,,,,,,,,,
Stephen,NFWRTM-X64-688FDNGTXAUDQMXAEKAX0,Windows 8 x64 devices,,,,,,,,,
Stephen,NFCDCH-LX-AUWDP7N6UJ6G5893EACDJCMYV4Q1C9,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
Stephen,NFWRTM-X64-DWF8PNEW39Y3VFGH9ZWTR,Windows 8 x64 devices,,,,,,,,,
Stephen,NFWRTM-X64-J2ZNPN9Y27AGJ6JCJ6AJA,Windows 8 x64 devices,,,,,,,,,
Stephen,NFCDCH-LX-ANL6CYRPWRVEPTP18PQDHD490ZCG41,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
Stephen,NFCDCH-LX-AN5TG7KQ6DQLFKEQVLP4XYXD71TGUN,Netflix Chrome Linux (Cadmium) HTML 5,,,,,,,,,
Stephen,NFANDROID1-LGE==NEXUS=5S-70F452BC69DF38ED76C07F86AB88F47F65D2CD720CB5AEF350DC23F6431EC0F0,Mobile,,,,,,,,,
Stephen,NFWRTM-X64-YP0DAN6MQJVF7QNU7LMJD,Windows 8 x64 devices,,,,,,,,,
Stephen,NFWRTM-X64-9KG5DN2D3HN4YECXFNZT4,Windows 8 x64 devices,,,,,,,,,
Stephen,NFWRTM-X64-121N2N3ULUY8YMVXCP2V0,Windows 8 x64 devices,,,,,,,,,
Stephen,SLW32-2ND1YN07D40C2Z0FTUMKLG2L8M,PC,,,,,,,,,
Stephen,NFWRTM-X64-AJVJFN10QNF3GDG6680KA,Windows 8 x64 devices,,,,,,,,,
Stephen,VIZTMG134-0000000005062,Vizio MG134 eMMC MT5580 Foxconn Smart TV,,,,,,,,,
Stephen,NFANDROID1-VIZIOVTAB1008H-F0083A0B2276F7DC5330F21B41B6B07337EF88B56206C94D1949206AD933727D,Mobile,,,,,,,,,
Stephen,NFX360-01-326008323524,Microsoft Xbox 360,,,,,,,,,
Stephen,NFWRTM-X64-43V3KMVRC0PFV3HZQ8GNF,Windows 8 x64 devices,,,,,,,,,
Stephen,NFANDROID1-ASUS=NEXUS=7S-64B1626BC92832CFD92FC6DBF39DC548BEEE56EB2451CE078CB6FEECB683B135,Mobile,,,,,,,,,
Stephen,NFWRTM-X64-UGCCDM5E203D14DY1CH1Y,Windows 8 x64 devices,,,,,,,,,
Stephen,NFANDROID1-HTC==PG86100S-0EECDA4A913D49FAF847DEE3E6A098E92B3F9D4DD956C921A77EEA7C2EAA2110,Mobile,,,,,,,,,
Stephen,NFXBOX-01-326008323524,Microsoft Xbox 360,,,,,,,,,
Stephen,SLW32-JE1WYM4NC0FFJWUZFLHQW7FUXD,PC,,,,,,,,,
Stephen,NFXBOX-01-024754857136,Microsoft Xbox 360,,,,,,,,,
Stephen,NFWRTM-X64-9R88RMJEJJECGXWDG2E32,Windows 8 x64 devices,,,,,,,,,
