Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Mom,2021-10-12 01:50:17,01:40:16,Autoplayed: user action: User_Interaction; ,Ophelia,,Samsung 2015 Hawk-M UHD TV,01:40:16,01:40:16,US (United States)
Mom,2021-10-12 01:46:20,00:00:04,Autoplayed: user action: None; ,The Blacklist: Season 1_hook_primary_16x9,HOOK,Samsung 2015 Hawk-M UHD TV,00:00:04,00:00:04,US (United States)
Mom,2021-10-10 04:17:19,00:22:37,,Beethoven,,Samsung 2015 Hawk-M UHD TV,01:26:05,01:26:05,US (United States)
Mom,2021-10-10 03:01:36,01:03:30,Autoplayed: user action: User_Interaction; ,Beethoven,,Samsung 2015 Hawk-M UHD TV,01:03:30,Not latest view,US (United States)
Mom,2021-10-08 02:49:15,02:06:59,Autoplayed: user action: User_Interaction; ,6 Underground,,Samsung 2015 Hawk-M UHD TV,02:06:59,02:06:59,US (United States)
Mom,2021-09-16 01:03:37,00:02:47,Autoplayed: user action: Unspecified; ,Virgin River: Season 1: Carry On (Episode 1),,Samsung 2015 Hawk-M UHD TV,00:02:47,00:02:47,US (United States)
Mom,2021-09-03 00:36:53,00:01:00,Autoplayed: user action: None; ,Manifest: Season 1_hook_primary_16x9,HOOK,Samsung 2015 Hawk-M UHD TV,00:01:00,00:01:00,US (United States)
Mom,2021-09-03 00:32:03,00:04:45,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: The Finale (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:37:10,01:37:10,US (United States)
Mom,2021-09-03 00:31:35,00:00:06,Autoplayed: user action: None; ,Rebellion: Season 1_hook_04_16x9,HOOK,Samsung 2015 Hawk-M UHD TV,00:00:06,00:00:06,US (United States)
Mom,2021-09-02 04:22:31,00:19:58,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: The Finale (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:32:25,Not latest view,US (United States)
Mom,2021-09-02 03:39:24,00:18:49,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: The Finale (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:12:28,Not latest view,US (United States)
Mom,2021-09-02 01:50:28,00:49:36,,Downton Abbey: Series 6: The Finale (Episode 9),,Samsung 2015 Hawk-M UHD TV,00:53:41,Not latest view,US (United States)
Mom,2021-09-01 06:01:42,00:04:06,Autoplayed: user action: None; ,Downton Abbey: Series 6: The Finale (Episode 9),,Samsung 2015 Hawk-M UHD TV,00:04:06,Not latest view,US (United States)
Mom,2021-09-01 04:46:49,01:14:44,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: Episode 8,,Samsung 2015 Hawk-M UHD TV,01:15:10,01:15:10,US (United States)
Mom,2021-09-01 04:29:33,00:17:11,,Downton Abbey: Series 6: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:49:05,00:49:05,US (United States)
Mom,2021-08-31 05:38:07,00:31:32,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 6: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:31:58,Not latest view,US (United States)
Mom,2021-08-31 04:42:11,00:49:07,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:49:07,00:49:07,US (United States)
Mom,2021-08-31 03:52:56,00:49:13,,Downton Abbey: Series 6: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:49:13,00:49:13,US (United States)
Mom,2021-08-31 03:46:07,00:06:44,,Downton Abbey: Series 6: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:48:30,00:48:30,US (United States)
Mom,2021-08-31 01:49:26,00:41:15,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:41:50,Not latest view,US (United States)
Mom,2021-08-31 01:48:07,00:00:15,,Clickbait: Limited Series: The Sister (Episode 1),,Samsung 2015 Hawk-M UHD TV,00:00:15,00:00:15,US (United States)
Mom,2021-08-26 04:45:57,00:00:10,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 6: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:00:36,Not latest view,US (United States)
Mom,2021-08-26 03:57:25,00:48:29,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:48:54,00:48:54,US (United States)
Mom,2021-08-26 03:04:42,00:48:22,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 6: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:48:48,00:48:48,US (United States)
Mom,2021-08-26 01:16:54,00:37:50,,Downton Abbey: Series 6: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:08:54,01:08:54,US (United States)
Mom,2021-08-25 04:48:07,00:31:07,,Downton Abbey: Series 6: Episode 1,,Samsung 2015 Hawk-M UHD TV,00:31:07,Not latest view,US (United States)
Mom,2021-08-25 03:11:35,01:33:14,,Downton Abbey: Series 5: A Moorland Holiday (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:36:56,01:36:56,US (United States)
Mom,2021-08-24 05:59:12,00:03:18,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: A Moorland Holiday (Episode 9),,Samsung 2015 Hawk-M UHD TV,00:03:45,Not latest view,US (United States)
Mom,2021-08-24 04:47:03,01:08:49,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 8,,Samsung 2015 Hawk-M UHD TV,01:09:15,01:09:15,US (United States)
Mom,2021-08-24 03:58:14,00:48:45,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:49:08,00:49:08,US (United States)
Mom,2021-08-24 02:51:36,00:48:41,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:49:08,00:49:08,US (United States)
Mom,2021-08-24 02:43:38,00:07:51,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:49:08,00:49:08,US (United States)
Mom,2021-08-24 02:41:58,00:00:29,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 5: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:41:17,Not latest view,US (United States)
Mom,2021-08-18 05:17:49,00:40:24,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 5: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:40:52,Not latest view,US (United States)
Mom,2021-08-18 04:29:00,00:48:41,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:49:08,00:49:08,US (United States)
Mom,2021-08-18 03:40:10,00:48:45,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:49:08,00:49:08,US (United States)
Mom,2021-08-18 02:22:05,00:48:39,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 5: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:49:07,00:49:07,US (United States)
Mom,2021-08-18 01:35:56,00:46:04,,Downton Abbey: Series 5: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:08:53,01:08:53,US (United States)
Mom,2021-08-17 04:36:51,00:22:28,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 5: Episode 1,,Samsung 2015 Hawk-M UHD TV,00:22:52,Not latest view,US (United States)
Mom,2021-08-17 02:57:40,01:35:14,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: The London Season (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:35:39,01:35:39,US (United States)
Mom,2021-08-17 02:26:10,00:31:17,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 8,,Samsung 2015 Hawk-M UHD TV,01:09:17,01:09:17,US (United States)
Mom,2021-08-05 04:52:11,00:38:02,,Downton Abbey: Series 4: Episode 8,,Samsung 2015 Hawk-M UHD TV,00:38:02,Not latest view,US (United States)
Mom,2021-08-05 04:03:10,00:48:57,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-08-05 03:27:11,00:35:49,,Downton Abbey: Series 4: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-08-04 06:26:01,00:12:42,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 4: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:13:09,Not latest view,US (United States)
Mom,2021-08-04 05:34:20,00:47:48,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:48:14,00:48:14,US (United States)
Mom,2021-08-04 04:44:40,00:48:32,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-08-04 03:54:04,00:48:30,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:48:53,00:48:53,US (United States)
Mom,2021-08-04 03:05:33,00:48:25,,Downton Abbey: Series 4: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-08-04 00:50:43,00:00:08,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 4: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:00:33,Not latest view,US (United States)
Mom,2021-08-04 00:33:48,00:16:45,,Downton Abbey: Series 4: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:08:44,01:08:44,US (United States)
Mom,2021-08-03 04:45:44,00:52:00,Autoplayed: user action: None; ,Downton Abbey: Series 4: Episode 1,,Samsung 2015 Hawk-M UHD TV,00:52:00,Not latest view,US (United States)
Mom,2021-08-03 02:54:16,01:30:51,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: A Journey to the Highlands (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:36:01,01:36:01,US (United States)
Mom,2021-08-03 02:53:57,00:00:12,Autoplayed: user action: None; ,Season 1 Trailer: La cocinera de Castamar,TRAILER,Samsung 2015 Hawk-M UHD TV,00:00:12,00:00:12,US (United States)
Mom,2021-07-30 07:04:28,00:11:20,Autoplayed: user action: None; ,Downton Abbey: Series 3: A Journey to the Highlands (Episode 9),,Samsung 2015 Hawk-M UHD TV,00:11:20,Not latest view,US (United States)
Mom,2021-07-30 05:50:01,01:03:27,,Downton Abbey: Series 3: Episode 8,,Samsung 2015 Hawk-M UHD TV,01:08:59,01:08:59,US (United States)
Mom,2021-07-30 05:43:46,00:05:08,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 8,,Samsung 2015 Hawk-M UHD TV,00:05:33,Not latest view,US (United States)
Mom,2021-07-30 04:54:52,00:48:31,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:48:56,00:48:56,US (United States)
Mom,2021-07-30 04:36:16,00:18:29,,Downton Abbey: Series 3: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:48:53,00:48:53,US (United States)
Mom,2021-07-29 05:53:51,00:30:00,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 3: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:30:26,Not latest view,US (United States)
Mom,2021-07-29 05:05:15,00:48:33,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-07-29 04:16:41,00:48:31,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:48:55,00:48:55,US (United States)
Mom,2021-07-29 03:34:05,00:20:24,,Downton Abbey: Series 3: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:49:06,00:49:06,US (United States)
Mom,2021-07-29 01:22:00,00:28:42,,Downton Abbey: Series 3: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:28:42,Not latest view,US (United States)
Mom,2021-07-29 00:35:14,00:46:40,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:48:51,00:48:51,US (United States)
Mom,2021-07-28 05:44:54,00:01:47,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 3: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:02:12,Not latest view,US (United States)
Mom,2021-07-28 04:34:31,01:07:59,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 3: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:08:23,01:08:23,US (United States)
Mom,2021-07-28 02:06:10,01:36:05,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Christmas at Downton Abbey (Episode 9),,Samsung 2015 Hawk-M UHD TV,01:36:05,01:36:05,US (United States)
Mom,2021-07-28 00:53:01,01:09:19,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 8,,Samsung 2015 Hawk-M UHD TV,01:09:44,01:09:44,US (United States)
Mom,2021-07-28 00:14:11,00:07:00,,Downton Abbey: Series 2: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:54:46,00:54:46,US (United States)
Mom,2021-07-27 06:45:17,00:47:23,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 2: Episode 7,,Samsung 2015 Hawk-M UHD TV,00:47:49,Not latest view,US (United States)
Mom,2021-07-27 05:46:13,00:54:54,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:54:54,00:54:54,US (United States)
Mom,2021-07-27 04:51:47,00:54:22,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:54:48,00:54:48,US (United States)
Mom,2021-07-27 03:58:00,00:53:44,,Downton Abbey: Series 2: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:53:44,00:53:44,US (United States)
Mom,2021-07-27 02:50:36,00:54:25,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:54:55,00:54:55,US (United States)
Mom,2021-07-22 05:20:52,00:07:36,Autoplayed: user action: Unspecified; ,Downton Abbey: Series 2: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:00:31,Not latest view,US (United States)
Mom,2021-07-22 04:26:33,00:54:13,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:54:38,00:54:38,US (United States)
Mom,2021-07-22 03:14:30,01:08:30,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 2: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:08:30,01:08:30,US (United States)
Mom,2021-07-22 02:08:26,01:04:43,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 7,,Samsung 2015 Hawk-M UHD TV,01:04:43,01:04:43,US (United States)
Mom,2021-07-22 01:21:38,00:46:43,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:47:59,00:47:59,US (United States)
Mom,2021-07-21 05:57:47,00:00:07,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 6,,Samsung 2015 Hawk-M UHD TV,00:00:30,Not latest view,US (United States)
Mom,2021-07-21 05:09:06,00:48:38,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 5,,Samsung 2015 Hawk-M UHD TV,00:49:03,00:49:03,US (United States)
Mom,2021-07-21 04:20:16,00:47:02,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 4,,Samsung 2015 Hawk-M UHD TV,00:47:27,00:47:27,US (United States)
Mom,2021-07-21 03:14:27,00:48:33,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 3,,Samsung 2015 Hawk-M UHD TV,00:48:57,00:48:57,US (United States)
Mom,2021-07-21 02:25:13,00:49:01,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 2,,Samsung 2015 Hawk-M UHD TV,00:49:01,00:49:01,US (United States)
Mom,2021-07-21 01:04:43,01:07:54,Autoplayed: user action: User_Interaction; ,Downton Abbey: Series 1: Episode 1,,Samsung 2015 Hawk-M UHD TV,01:07:54,01:07:54,US (United States)
Mom,2021-07-21 01:03:24,00:00:14,Autoplayed: user action: None; ,Clip 1: Virgin River: Season 3,HOOK,Samsung 2015 Hawk-M UHD TV,00:00:14,00:00:14,US (United States)
